station_code,Data_Points,Mean_Flow,Std_Dev,Min_Flow,Max_Flow
D14A011,5,1.599,0.583,0.615,2.097
D14A018,1,1.241,,1.241,1.241
D14A117,10,0.529,0.19,0.314,0.866
D14A144,12,0.104,0.041,0.027,0.157
D14A146,15,0.234,0.087,0.041,0.391
D14A149,12,0.306,0.171,0.071,0.603
D14A162,15,7.794,2.662,1.967,13.12
D14A172,4,28.059,29.689,2.42,56.432
D22A093,14,5.381,0.876,3.572,6.956
D22A095,10,1.553,0.437,0.957,2.235
D22A105,14,2.521,0.527,1.811,3.702
D22A106,11,3.239,0.574,2.343,4.127
D22A116,6,18.021,5.1,13.058,26.75
D22A158,2,5.088,1.002,4.38,5.797
E22A054,7,6.08,0.69,5.355,7.259
E22A065,8,6.155,2.289,2.574,10.318
