station_code,catchment_area_km2,page,year
D14A064,100.0,417,2005
D14A081,9.9,419,2005
D14A117,78.0,423,2005
D14A141,21.0,433,2005
D14A162,712.62,439,2005
D22A093,210.0,687,2005
D22A105,74.5,693,2005
D22A106,122.0,694,2005
D14A011,145.1,835,2005
D22A098,266.7,853,2005
D14A064,100.0,487,2006
D14A081,9.9,489,2006
D14A117,78.0,493,2006
D14A162,712.62,509,2006
D22A093,210.0,808,2006
D22A105,74.5,813,2006
D22A106,122.0,814,2006
D14A141,21.0,911,2006
D22A098,266.7,929,2006
D14A064,100.0,474,2007
D14A081,9.9,476,2007
D14A162,712.62,492,2007
D22A093,210.0,766,2007
D22A105,74.5,773,2007
D22A106,122.0,774,2007
D14A011,145.1,880,2007
D14A117,78.0,881,2007
D14A141,21.0,881,2007
D22A098,266.7,906,2007
D14A081,9.9,453,2008
D14A141,21.0,467,2008
D14A162,712.62,474,2008
D14A176,3783.0,481,2008
D22A093,210.0,750,2008
D22A098,321.5,754,2008
D22A105,74.5,758,2008
D22A106,122.0,759,2008
D14A011,145.1,870,2008
D14A064,100.0,871,2008
D14A117,78.0,871,2008
D14A172,10693.0,873,2008
D14A064,100.0,466,2009
D14A081,9.9,468,2009
D14A117,78.0,472,2009
D14A141,21.0,482,2009
D14A162,712.62,489,2009
D14A172,10693.0,498,2009
D14A176,3783.0,501,2009
D14A179,35865.0,504,2009
D22A093,210.0,749,2009
D22A105,74.5,755,2009
D22A106,122.0,756,2009
D14A011,145.1,849,2009
D22A098,321.5,861,2009
D14A064,100.0,456,2010
D14A117,78.0,459,2010
D14A162,712.62,474,2010
D14A172,10693.0,481,2010
D14A176,3783.0,485,2010
D14A179,35865.0,488,2010
D22A093,210.0,752,2010
D22A105,74.5,757,2010
D14A011,145.1,854,2010
D14A081,9.9,855,2010
D14A141,21.0,855,2010
D22A098,321.5,869,2010
D22A106,122.0,869,2010
D14A064,100.0,473,2011
D14A081,9.9,475,2011
D14A117,78.0,478,2011
D14A162,712.62,492,2011
D14A172,10693.0,496,2011
D14A176,3783.0,499,2011
D14A179,35865.0,502,2011
D22A093,210.0,785,2011
D22A105,74.5,790,2011
D14A011,145.1,902,2011
D14A141,21.0,903,2011
D22A098,321.5,915,2011
D22A106,122.0,916,2011
D14A064,100.0,526,2012
D14A081,9.9,528,2012
D14A162,712.62,546,2012
D14A172,10693.0,552,2012
D14A176,3783.0,555,2012
D14A179,35865.0,557,2012
E14A002,33904.0,561,2012
E14A018,1608.0,565,2012
E14A027,8572.8,568,2012
E14A038,298.0,575,2012
E14A040,338.02,577,2012
D22A093,210.0,858,2012
D22A098,321.5,860,2012
D22A105,74.5,862,2012
E22A054,222.2,884,2012
E22A062,740.0,886,2012
E22A063,274.5,887,2012
E22A065,386.4,888,2012
E22A066,373.5,889,2012
E22A071,226.0,894,2012
D14A011,145.1,989,2012
D14A141,21.0,990,2012
D22A106,122.0,1032,2012
E22A053,770.7,1038,2012
D14A011,145.1,514,2013
D14A064,100.0,521,2013
D14A081,9.9,523,2013
D14A117,78.0,529,2013
D14A141,21.0,538,2013
D14A162,712.62,545,2013
D14A176,3783.0,554,2013
D14A179,35865.0,556,2013
E14A002,33904.0,560,2013
E14A018,1608.0,563,2013
E14A027,8572.8,566,2013
E14A038,298.0,573,2013
E14A040,338.02,575,2013
D22A093,210.0,862,2013
D22A098,321.5,865,2013
D22A105,74.5,867,2013
E22A053,770.7,890,2013
E22A054,222.2,891,2013
E22A062,740.0,893,2013
E22A063,274.5,894,2013
E22A065,386.4,896,2013
E22A066,373.5,897,2013
E22A071,226.0,902,2013
D14A172,10693.0,1031,2013
D22A106,122.0,1059,2013
D14A011,145.1,485,2014
D14A064,100.0,492,2014
D14A081,9.9,494,2014
D14A117,78.0,499,2014
D14A141,21.0,506,2014
D14A162,712.62,513,2014
D14A176,3783.0,521,2014
D14A179,35865.0,523,2014
D14A184,19.1,528,2014
D14A185,67.1,529,2014
E14A002,33904.0,531,2014
E14A018,1608.0,533,2014
E14A027,8572.8,536,2014
E14A038,298.0,542,2014
E14A040,338.02,543,2014
D14A172,10693.0,559,2014
D14A188,14.8,560,2014
D22A093,210.0,911,2014
D22A098,321.5,915,2014
D22A105,74.5,917,2014
D22A106,122.0,918,2014
E22A053,770.7,960,2014
E22A054,222.2,961,2014
E22A062,740.0,962,2014
E22A063,274.5,963,2014
E22A065,386.4,966,2014
E22A066,373.5,967,2014
E22A071,226.0,972,2014
D14A011,145.1,502,2015
D14A064,100.0,509,2015
D14A081,9.9,511,2015
D14A117,78.0,516,2015
D14A141,21.0,523,2015
D14A162,712.62,529,2015
D14A176,3783.0,537,2015
D14A179,35865.0,539,2015
D14A184,19.1,544,2015
D14A188,14.8,546,2015
E14A002,33904.0,550,2015
E14A018,1608.0,553,2015
E14A027,8572.8,556,2015
E14A038,298.0,562,2015
E14A040,338.02,563,2015
D14A172,10693.0,580,2015
D14A185,67.1,580,2015
D22A093,210.0,892,2015
D22A098,321.5,895,2015
D22A105,74.5,897,2015
D22A106,122.0,898,2015
E22A053,770.7,926,2015
E22A054,222.2,927,2015
E22A062,740.0,928,2015
E22A063,274.5,929,2015
E22A065,386.4,931,2015
E22A066,373.5,932,2015
E22A071,226.0,937,2015
D14A011,145.1,504,2016
D14A064,100.0,511,2016
D14A081,9.9,513,2016
D14A117,78.0,518,2016
D14A141,21.0,524,2016
D14A162,712.62,529,2016
D14A176,3783.0,536,2016
D14A179,35865.0,538,2016
D14A184,19.1,542,2016
D14A188,14.8,544,2016
E14A002,33904.0,551,2016
E14A018,1608.0,554,2016
E14A027,8572.8,557,2016
E14A038,298.0,562,2016
E14A040,338.02,563,2016
D14A185,67.1,579,2016
D22A093,210.0,898,2016
D22A098,321.5,901,2016
D22A105,74.5,903,2016
D22A106,122.0,904,2016
E22A053,770.7,929,2016
E22A054,222.2,930,2016
E22A062,740.0,931,2016
E22A063,274.5,932,2016
E22A065,386.4,934,2016
E22A066,373.5,935,2016
E22A071,226.0,939,2016
D14A011,145.1,505,2017
D14A064,100.0,512,2017
D14A081,9.9,514,2017
D14A117,78.0,519,2017
D14A141,21.0,525,2017
D14A162,712.62,530,2017
D14A176,3783.0,536,2017
D14A179,35865.0,538,2017
D14A184,19.1,542,2017
D14A185,67.1,543,2017
D14A186,11.22,544,2017
D14A188,14.8,546,2017
E14A002,33904.0,557,2017
E14A027,8572.8,562,2017
E14A038,298.0,567,2017
E14A040,338.02,568,2017
E14A018,1608.0,586,2017
D22A093,210.0,901,2017
D22A098,321.5,902,2017
D22A105,74.5,904,2017
D22A106,122.0,905,2017
E22A053,770.7,935,2017
E22A054,222.2,936,2017
E22A062,740.0,938,2017
E22A063,274.5,939,2017
E22A065,386.4,940,2017
E22A066,373.5,941,2017
E22A071,226.0,945,2017
D14A011,145.1,493,2018
D14A064,100.0,500,2018
D14A081,9.9,502,2018
D14A117,78.0,505,2018
D14A141,21.0,509,2018
D14A162,712.62,513,2018
D14A172,10693.0,515,2018
D14A176,3783.0,518,2018
D14A179,35865.0,520,2018
D14A184,19.1,524,2018
D14A185,67.1,525,2018
D14A186,11.22,526,2018
D14A188,14.8,528,2018
D14A201,130.48,538,2018
D14A207,18.45,540,2018
D14A208,38.68,541,2018
E14A002,33904.0,546,2018
E14A018,1608.0,549,2018
E14A027,8572.8,552,2018
E14A038,298.0,557,2018
E14A040,338.02,558,2018
D14A200,2777.74,585,2018
D14A214,40.41,585,2018
D14A215,47.85,585,2018
D22A093,210.0,903,2018
D22A098,321.5,906,2018
D22A105,74.5,908,2018
D22A106,122.0,909,2018
E22A053,770.7,937,2018
E22A054,222.2,938,2018
E22A062,740.0,940,2018
E22A063,274.5,941,2018
E22A065,386.4,942,2018
E22A066,373.5,943,2018
E22A071,226.0,947,2018
D14A011,145.1,457,2019
D14A064,100.0,464,2019
D14A081,9.9,466,2019
D14A141,21.0,472,2019
D14A162,712.62,477,2019
D14A172,10693.0,480,2019
D14A176,3783.0,482,2019
D14A179,35865.0,484,2019
D14A184,19.1,488,2019
D14A185,67.1,489,2019
D14A186,11.22,490,2019
D14A188,14.8,492,2019
D14A200,2777.74,503,2019
D14A201,130.48,504,2019
D14A207,18.45,508,2019
D14A208,38.68,509,2019
D14A211,61.43,512,2019
D14A214,40.41,514,2019
D14A215,47.85,515,2019
E14A002,33904.0,518,2019
E14A018,1608.0,521,2019
E14A027,8572.8,524,2019
E14A038,298.0,529,2019
E14A040,338.02,530,2019
D14A117,78.0,556,2019
D22A093,210.0,871,2019
D22A098,321.5,874,2019
D22A105,74.5,876,2019
D22A106,122.0,877,2019
D22A159,20.34,903,2019
E22A053,770.7,908,2019
E22A054,222.2,909,2019
E22A062,740.0,911,2019
E22A063,274.5,912,2019
E22A065,386.4,913,2019
E22A066,373.5,914,2019
E22A071,226.0,918,2019
D14A011,145.1,462,2020
D14A064,100.0,469,2020
D14A081,9.9,471,2020
D14A117,78.0,475,2020
D14A141,21.0,481,2020
D14A162,712.62,486,2020
D14A172,10693.0,489,2020
D14A176,3783.0,491,2020
D14A179,35865.0,493,2020
D14A184,13.95,496,2020
D14A185,67.1,497,2020
D14A186,11.22,498,2020
D14A188,14.8,500,2020
D14A200,2777.74,511,2020
D14A201,130.48,512,2020
D14A207,18.45,516,2020
D14A208,38.68,517,2020
D14A211,61.43,520,2020
D14A214,40.41,522,2020
D14A215,47.85,523,2020
E14A002,33904.0,527,2020
E14A018,1608.0,530,2020
E14A027,8572.8,533,2020
E14A038,298.0,537,2020
E14A040,338.02,538,2020
D22A093,210.0,863,2020
D22A098,321.5,866,2020
D22A105,74.5,868,2020
D22A106,122.0,869,2020
D22A159,20.34,901,2020
E22A053,770.7,908,2020
E22A054,222.2,909,2020
E22A062,740.0,911,2020
E22A063,274.5,912,2020
E22A065,386.4,913,2020
E22A066,373.5,914,2020
E22A071,226.0,918,2020
