Year,Mean_Flow,Std_Dev,Station_Count
2005,2.03525,2.0369596917254613,8
2006,4.036428571428571,4.4265235364840905,7
2007,3.3638333333333335,2.9483793118706196,6
2008,3.1454999999999997,3.254045835571466,6
2009,2.761375,3.135472529323587,8
2010,2.774,3.640700246616616,8
2011,2.3804999999999996,2.950838331244675,8
2012,4.206,2.557029135539914,6
2013,1.782333333333333,3.1014024354582985,6
2014,0.8825,1.1142175281335327,6
2015,3.615,3.5597097072654673,11
2016,3.488545454545455,3.2488338019552914,11
2017,2.5894545454545455,2.302920552847465,11
2018,2.462181818181818,2.3286125404704756,11
2019,3.9115,3.1567109321397973,12
2020,2.9469166666666666,2.309174841143411,12
