,flow_max_m3,flow_min_m3,flow_avg_m3,ltsnkm2_m3,akim_mm_m3,milm3_m3
Jan,24.362739999999995,3.4745289855072463,8.168303448275863,13.73864900662252,45.27576158940398,19.900680272108843
Feb,27.035846666666668,3.9095652173913042,9.392944827586208,16.91003311258278,55.79795364238411,21.483945578231296
Mar,38.080380000000005,4.7363478260869565,11.989413793103449,22.762158940397352,86.69317880794704,22.59574829931973
Apr,31.40039333333333,4.80818115942029,11.85131724137931,32.37220529801324,73.41430463576157,31.40756462585034
May,33.171773333333334,4.144536231884057,10.719282758620691,28.318013245033114,58.22788079470199,29.780244897959182
Jun,34.906940000000006,2.8939999999999997,7.719131034482758,21.747350993377484,33.835099337748346,27.911537414965988
Jul,30.596833333333333,2.4468405797101447,6.396337931034482,13.052913907284768,28.14227152317881,19.577081632653062
Aug,33.86360666666666,2.427101449275362,5.813758620689655,10.504125827814569,18.56684105960265,16.82251020408163
Sep,27.572333333333336,2.0252898550724634,5.382655172413792,6.933476821192053,28.569867549668874,9.066054421768708
Oct,25.561426666666666,2.3898405797101447,5.738613793103448,2.0,24.005529801324503,3.0
Nov,29.582646666666673,1.6610942028985507,6.032593103448276,8.962026490066226,33.13431788079471,15.132408163265305
Dec,24.53551333333333,2.336608695652174,7.552827586206897,12.784079470198673,36.794966887417225,15.37940136054422
